Date,Open,High,Low,Close,Adj Close,Volume
01-12-2020,29797.5,30083.31055,29797.5,29823.91992,29823.91992,4295100
02-12-2020,29695.08984,29902.50977,29599.28906,29883.78906,29883.78906,3852800
03-12-2020,29920.83008,30110.88086,29877.26953,29969.51953,29969.51953,4056800
04-12-2020,29989.56055,30218.25977,29989.56055,30218.25977,30218.25977,3565900
07-12-2020,30233.0293,30233.0293,29967.2207,30069.78906,30069.78906,3658100
08-12-2020,29997.94922,30246.2207,29972.07031,30173.88086,30173.88086,3111900
09-12-2020,30229.81055,30319.69922,29951.84961,30068.81055,30068.81055,3805200
10-12-2020,30032.55078,30063.86914,29876.82031,29999.25977,29999.25977,3255500
11-12-2020,29988.21094,30071.13086,29820.83984,30046.36914,30046.36914,3938700
14-12-2020,30123.91016,30325.78906,29849.15039,29861.55078,29861.55078,3719800
15-12-2020,29919.08984,30243.25977,29894.94922,30199.31055,30199.31055,4177700
16-12-2020,30191.38086,30236.0293,30080.10938,30154.53906,30154.53906,3445900
17-12-2020,30216,30323.7793,30216,30303.36914,30303.36914,3455300
18-12-2020,30314.25977,30343.58984,30029.43945,30179.05078,30179.05078,7820700
21-12-2020,30159,30304.14063,29755.5293,30216.44922,30216.44922,4374800
22-12-2020,30200.19922,30200.19922,29992.89063,30015.50977,30015.50977,3888100
23-12-2020,30046.73047,30292.5293,30046.73047,30129.83008,30129.83008,2740500
24-12-2020,30155.91992,30209.66992,30099.30078,30199.86914,30199.86914,1455700
28-12-2020,30283.23047,30525.56055,30283.23047,30403.9707,30403.9707,3024900
29-12-2020,30492.07031,30588.78906,30274.24023,30335.66992,30335.66992,3576100
30-12-2020,30415.08984,30525.34961,30393.03906,30409.56055,30409.56055,2918900
31-12-2020,30417.64063,30637.4707,30344.5,30606.48047,30606.48047,2844700
04-01-2021,30627.4707,30674.2793,29881.82031,30223.89063,30223.89063,4750800
05-01-2021,30204.25,30504.89063,30141.7793,30391.59961,30391.59961,3509100
06-01-2021,30362.7793,31022.65039,30313.07031,30829.40039,30829.40039,5004300
07-01-2021,30901.17969,31193.40039,30897.85938,31041.13086,31041.13086,4278100
08-01-2021,31069.58008,31140.66992,30793.26953,31097.9707,31097.9707,3811500
11-01-2021,31015.36914,31096.98047,30832.06055,31008.68945,31008.68945,3565400
12-01-2021,31015.00977,31114.56055,30888.75977,31068.68945,31068.68945,3626200
13-01-2021,31084.88086,31153.36914,30992.05078,31060.4707,31060.4707,4132500
14-01-2021,31085.66992,31223.7793,30982.24023,30991.51953,30991.51953,4278100
15-01-2021,30926.76953,30941.98047,30612.66992,30814.25977,30814.25977,4330000
19-01-2021,30887.41992,31086.61914,30865.0293,30930.51953,30930.51953,3864000
20-01-2021,31017.53906,31235.98047,30997.78906,31188.38086,31188.38086,3849800
21-01-2021,31198.00977,31272.2207,31120.91992,31176.00977,31176.00977,4187800
22-01-2021,31141.56055,31141.56055,30908.4707,30996.98047,30996.98047,4360400
25-01-2021,30989.84961,30989.84961,30564.06055,30960,30960,4728900
26-01-2021,30968.55078,31121.41992,30921.71094,30937.03906,30937.03906,3731500
27-01-2021,30893.7793,30893.7793,30206.91016,30303.16992,30303.16992,5664700
28-01-2021,30377.18945,30951.41016,30377.18945,30603.35938,30603.35938,4651400
